,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,67.16041963582953,77.64594291081737,81.7291879671772
Community 1,100.0,26.04664838516226,1.6149804099218743,28.272810110328717
Community 2,100.0,32.05006886737558,13.428327923799008,35.53410950599555
System,100.0,41.75237896278912,30.896417081512748,48.512035861167156
