,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,70.38991835187002,75.00344785751793,80.74215470062072
Community 1,100.0,24.81697465314729,6.928219656204257,28.41816033471564
Community 2,100.0,30.356205149928375,18.85554454809304,35.77369792994899
System,100.0,41.85436605164856,33.59573735393841,48.311337655095116
