,Generation,Average Load,Buying,Selling
Community 0,1760.4386438999998,3973.1325496,517.3324314051116,649.1233477999998
Community 1,781.2149080499998,2017.7524225749999,967.9431562904999,169.40041251916324
Community 2,2156.2436000000002,2040.2572552000001,189.07024111916314,855.8220684956113
System,4697.897151949999,8031.1422273749995,1674.345828814775,1674.3458288147744
