,Generation,Average Load,Buying,Selling
Community 0,1757.1571175999998,3973.1325496,443.5095174000003,443.50951739999994
Community 1,759.23055,2017.7524225749999,501.9030001,495.4160603001279
Community 2,1391.7827,2040.2572552000001,83.14940660012763,89.63634640000002
System,3908.1703675999997,8031.1422273749995,1028.561924100128,1028.561924100128
