,Generation,Average Load,Buying,Selling
Community 0,2164.3592659624674,4295.278431999999,1962.6794576576233,2220.401460318679
Community 1,1271.1539266502002,2373.8263795000003,1412.8382217020248,1011.4983113397288
Community 2,1079.4592179494261,2147.6392159999996,1087.9221152275322,1230.5819930888779
System,4514.9724105620935,8816.744027499999,4463.439794587181,4462.4817647472855
