,Generation,Average Load,Buying,Selling
Community 0,1757.1571408033737,3973.1325496,3957.6804270110797,4022.2315697127992
Community 1,759.2305495056241,2017.752422575,6934.567783295177,6840.2481032762935
Community 2,1095.7739806845807,2040.2572552000001,3795.523709892607,3825.2922469937034
System,3612.1616709935784,8031.142227375,14687.771920198864,14687.771919982797
