,Generation,Average Load,Buying,Selling
Community 0,1760.4386438999998,3973.1325496,718.8281106960458,761.8374434
Community 1,766.38678585,2017.7524225749999,726.2958383039543,348.88799620000003
Community 2,2017.91884145,2040.2572552000001,274.5459262999999,608.9444357000001
System,4544.744271199999,8031.1422273749995,1719.6698753,1719.6698753
