,Generation,Average Load,Buying,Selling
Community 0,2161.9142352,3973.1325496,78.39360454906006,236.5019577181626
Community 1,803.080645546795,2017.752422575,986.755475186055,298.79971232534183
Community 2,1093.618408297193,2040.2572552000001,1010.2964593056885,643.324074896801
System,4058.6132890439876,8031.142227375,2075.4455390408034,1178.6257449403054
