,Generation,Average Load,Buying,Selling
Community 0,1831.9806526435927,4074.9145091900004,43.85440444383319,54.4778741996202
Community 1,1268.0362935348603,2373.8263795000003,32.56202954590157,24.402719765692716
Community 2,1070.765193873544,2362.4031376,28.442037842935598,25.958995039723554
System,4170.782140051997,8811.144026290001,104.85847183267035,104.83958900503649
