,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,13.573963445311449,32.47266167130995,23.034770968735828
Community 1,100.0,4.165709238814264,56.29596986268957,12.427844107583356
Community 2,100.0,9.666737858494477,36.42556366195208,18.459955727144465
System,100.0,9.135470180873398,41.73139839865053,17.974190267821214
