,Generation,Average Load,Buying,Selling
Community 0,1757.15711759779,3973.1325496,3851.6541815321298,3850.9952340381324
Community 1,759.2305499206003,2017.752422575,6641.9469357993485,6653.601377595374
Community 2,1095.773979999206,2040.2572552000001,3687.754856095711,3667.726939050098
System,3612.161647517596,8031.142227375,14181.35597342719,14172.323550683606
