,Generation,Average Load,Buying,Selling
Community 0,2122.727519553376,4295.278431999999,670.223842335496,792.2301493513912
Community 1,1285.232095018607,2373.8263795000003,553.7185815581001,293.46408295827655
Community 2,1078.0251540769007,2147.6392159999996,334.70758306369066,474.2701582446101
System,4485.984768648884,8816.744027499999,1558.650006957287,1559.964390554278
