,Generation,Average Load,Buying,Selling
Community 0,1760.4386438999998,3973.1325496,619.1968154240187,706.3601845807427
Community 1,770.1138677001263,2017.7524225749999,886.1554130264813,240.78422805012644
Community 2,2140.8465312548146,2040.2572552000001,240.94875323086922,799.1565690504999
System,4671.3990428549405,8031.1422273749995,1746.3009816813692,1746.3009816813692
