,Generation,Average Load,Buying,Selling
Community 0,1919.3857340943534,4074.9145091900004,407.30347478876604,270.9935188048784
Community 1,1274.5552549994209,2373.8263795000003,162.5767208741159,230.36465427082257
Community 2,1077.9848188813319,2362.4031376,153.38203509823583,221.8794019334233
System,4271.925807975106,8811.144026290001,723.2622307611178,723.2375750091243
