,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,18.707398672694215,6.93500505507108,23.034770968737927
Community 1,100.0,8.764980056026365,6.27973745662331,10.936144494276327
Community 2,100.0,13.066580377438093,9.666860596295766,17.720258332834916
System,100.0,13.512986368719558,7.627201035996719,17.230391265283057
