,Generation,Average Load,Buying,Selling
Community 0,1757.6293590795296,3973.1325496,3962.1620779656782,3968.481541805834
Community 1,756.8231378627655,2017.752422575,6853.337808240289,6836.434228171821
Community 2,1098.6801550622076,2040.2572552000001,3781.5751047967146,3792.190058805213
System,3613.1326520045027,8031.142227375,14597.074991002683,14597.105828782867
