,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,19.306824994221742,3.9529709887375204,23.034766108775347
Community 1,100.0,7.943469535283193,3.6814854003352377,10.936144462115317
Community 2,100.0,13.430644973533033,7.149973885545012,17.720258277602674
System,100.0,13.560313167679324,4.92814342487259,17.230389616164448
