,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,70.92223779198609,76.87718979821247,82.03609076549391
Community 1,100.0,24.09102135417321,9.475756560664076,28.378807655084174
Community 2,100.0,32.73137518669799,13.238097674366765,35.96684673981071
System,100.0,42.581544777619094,33.197014677747774,48.79391505346293
