,Generation,Load,Buying,Selling
Community 0,1793.5555971718943,3757.31890868,57.27432488640217,55.79883915888066
Community 1,933.3360134166542,1962.15543014,56.70226709519204,56.35106932410148
Community 2,1065.4576402966027,2087.39939374,55.61943381188905,57.443322210285906
System,3792.349250885151,7806.87373256,169.59602579348325,169.59323069326805
