,Generation,Average Load,Buying,Selling
Community 0,1013.946800188182,3973.1325496,2669.798518490519,590.086783110155
Community 1,168.43910236018388,2017.752422575,2294.342720121046,719.7839692880183
Community 2,239.54995807733428,2040.2572552000001,4469.51614109507,3014.8224875174537
System,1421.9358606257001,8031.142227375,9433.657379706636,4324.693239915627
