,Generation,Average Load,Buying,Selling
Community 0,1757.1570891559388,3973.1325496,3524.916763580292,3546.61220047774
Community 1,759.2305661337236,2017.752422575,6161.961151688776,6044.77461282086
Community 2,1095.7724819380496,2040.2572552000001,3328.934942331676,3424.3703563327135
System,3612.1601372277123,8031.142227375,13015.812857600744,13015.757169631313
