,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,26.39373756954793,33.96823120108257,37.30909914676152
Community 1,100.0,45.21725707238431,50.734464984416185,57.74427072643973
Community 2,100.0,75.46245711544228,95.21508795068492,95.91522374641738
System,100.0,45.28605969716392,54.61732147325175,58.98153221443201
