,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,19.030878936706895,5.325763084523088,23.034770548631545
Community 1,100.0,7.8955331982123225,4.262724362469705,10.936143145556
Community 2,100.0,13.776147762506078,4.76140523004505,17.72025742694292
System,100.0,13.567519965808431,4.783297559012614,17.230390373710154
