,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,78.60028723403852,69.78487686852077,79.47930718976265
Community 1,100.0,19.56523535472095,26.37193586602859,28.348461930960628
Community 2,100.0,34.20148278048521,7.421057489598251,35.48557459111863
System,100.0,44.12233512308156,34.52595674138254,47.77111457061397
