,Generation,Average Load,Buying,Selling
Community 0,1955.522124637702,4074.9145091900004,558.1401771612861,358.33760992119227
Community 1,1274.4294037462414,2373.8263795000003,233.46876584827763,297.4530374969504
Community 2,1080.7419958354153,2362.4031376,185.64387378319032,321.4024680755979
System,4310.6935242193595,8811.144026290001,977.2528167927541,977.1931154937406
