,Generation,Average Load,Buying,Selling
Community 0,1757.1571175999998,3973.1325496,0.0,0.0
Community 1,759.23055,2017.752422575,0.0,0.0
Community 2,1095.7739800000002,2040.2572552000001,0.0,0.0
System,3612.1616476,8031.142227375,0.0,0.0
