,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,100.0,18.803698481041536,6.388049093562219,23.021912066242333
Community 1,100.0,8.69774907563938,5.966217885969486,10.890006554327197
Community 2,100.0,13.116383334986676,9.002834385963833,17.668998132181834
System,100.0,13.539276963889199,7.119033788498513,17.193638917583787
