,Generation,Average Load,Buying,Selling
Community 0,2387.3142351999995,3973.1325496,196.78396386776333,50.24182975999846
Community 1,1273.3725563357914,2017.752422575,374.4826543403594,6.595547429506654
Community 2,1036.3667379519782,2040.2572552000001,534.3971686361317,372.91745091903533
System,4697.053529487769,8031.142227375,1105.6637868442544,429.75482810854044
