,Generation,Average Load,Buying,Selling
Community 0,1757.1571175999998,3973.1325496,825.6271185982791,25.871006356097112
Community 1,668.1009938749999,2017.752422575,1182.842045019936,0.0
Community 2,1051.8659029852201,2040.2572552000001,589.5407874893776,4.024798500000003
System,3477.1240144602198,8031.142227375,2598.0099511075928,29.895804856097115
