,Connection Rate,Renewable Energy Access Rate,CO2 Emission Reduction,Renewable Energy Mandate
Community 0,-200.0,69.43121364619061,74.67754217570784,80.3240973680539
Community 1,-200.0,22.366484388055976,8.521742149321215,26.688052641010646
Community 2,-200.0,30.659362280200956,18.675771919932448,35.95136238384946
System,-200.0,40.81902010481585,33.958352081653835,47.65450413097133
