scen0,scen1,scen2
4.6073868,5.175729,5.59967256
4.63647048,5.001543,5.4247056
4.34565756,4.6543362,4.9932426
4.0643208,4.3595916,4.64021472
3.8745666,4.17578088,4.42806
3.78263592,4.09525512,4.34421984
3.7735368,4.09839276,4.36076688
3.83177232,4.16961876,4.45468284
3.94598832,4.29954756,4.61082684
4.10902944,4.48397316,4.8201216
4.3175826,4.72258296,5.0776032
4.571376,5.0164902,5.38040196
4.86826404,5.36090472,5.7224268
5.19240876,5.73189,6.08430516
5.5069188,6.08205648,6.42886392
5.77004124,6.3640344,6.7161504
5.9592996,6.5572092,6.92407728
6.07350768,6.66492516,7.050342
6.1200834,6.6979998,7.10137476
6.1056336,6.6649896,7.0833432
6.03284112,6.5696292,6.9986316
5.90052912,6.411246,6.8455728
5.7049782,6.1862892,6.6197472
5.4423084,5.89105968,6.3167712
