scen0,scen1,scen2
4.2234379,4.74441825,5.13303318
4.25009794,4.58474775,4.9726468
3.98351943,4.26647485,4.57713905
3.7256274,3.9962923,4.25353016
3.55168605,3.82779914,4.059055
3.46741626,3.75398386,3.98220152
3.4590754,3.75686003,3.99736964
3.51245796,3.82215053,4.08345927
3.61715596,3.94125193,4.22659127
3.76661032,4.11030873,4.4184448
3.95778405,4.32903438,4.6544696
4.190428,4.59844935,4.93203513
4.46257537,4.91416266,5.2455579
4.75970803,5.2542325,5.57727973
5.0480089,5.57521844,5.89312526
5.28920447,5.8336982,6.1564712
5.4626913,6.0107751,6.34707084
5.56738204,6.10951473,6.4628135
5.61007645,6.13983315,6.50959353
5.5968308,6.1095738,6.4930646
5.53010436,6.0221601,6.4154123
5.40881836,5.8769755,6.2751084
5.22956335,5.6707651,6.0681016
4.9887827,5.40013804,5.7903736
