scen0,scen1,scen2
4.03146345,4.528762875,4.89971349
4.05691167,4.376350125,4.7466174
3.802450365,4.072544175,4.369087275
3.5562807,3.81464265,4.06018788
3.390245775,3.65380827,3.8745525
3.30980643,3.58334823,3.80119236
3.3018447,3.586093665,3.81567102
3.35280078,3.648416415,3.897847485
3.45273978,3.762104115,4.034473485
3.59540076,3.923476515,4.2176064
3.777884775,4.13226009,4.4429028
3.999954,4.389428925,4.707851715
4.259731035,4.69079163,5.00712345
4.543357665,5.01540375,5.323767015
4.81855395,5.32179942,5.62525593
5.048786085,5.5685301,5.8766316
5.21438715,5.73755805,6.05856762
5.31431922,5.831809515,6.16904925
5.355072975,5.860749825,6.213702915
5.3424294,5.8318659,6.1979253
5.27873598,5.74842555,6.12380265
5.16296298,5.60984025,5.9898762
4.991855925,5.41300305,5.7922788
4.76201985,5.15467722,5.5271748
