scen0,scen1,scen2
3.705259782,4.073516492,4.198223678
3.676751644,3.940518005,4.153020977
3.451083978,3.714796118,4.060734007
3.135309068,3.523511657,3.894798193
3.042562839,3.411302299,3.689693607
2.883122946,3.377232878,3.585201137
2.73764785,3.345143851,3.388312201
2.822591524,3.317375231,3.401436723
2.989418321,3.244901696,3.560977833
3.120296256,3.399457817,3.624474291
3.225124281,3.590642109,3.72920244
3.435075907,3.76133413,4.055748493
3.662524507,4.122076329,4.472152406
3.93343722,4.292758372,4.683473206
4.278940519,4.634456618,4.95429408
4.550923063,5.044852481,5.112909395
4.745998481,5.121888304,5.43233381
4.932351968,5.273321135,5.639968785
4.98211893,5.427236403,5.647440424
4.935373,5.441050255,5.699821358
4.869583323,5.456636966,5.632329684
4.789566254,5.392922227,5.649300888
4.721845646,5.035227221,5.442577096
4.537327854,4.762498974,5.20947591
